,Type,Total,Destroyed,Damaged,Abandoned,Captured
1,Tanks,734,493,60,51,130
2,Armoured Fighting Vehicles,347,248,11,8,80
3,Infantry Fighting Vehicles,830,606,51,59,114
4,Armoured Personnel Carriers,389,241,25,30,93
5,Mine-Resistant Ambush Protected (MRAP) Vehicles,196,141,27,17,11
6,Infantry Mobility Vehicles,402,248,34,6,114
7,Command Posts And Communications Stations,18,14,0,0,4
8,Engineering Vehicles And Equipment,102,57,12,7,26
9,Self-Propelled Anti-Tank Missile Systems,21,8,0,1,12
10,Artillery Support Vehicles And Equipment,24,11,0,0,13
11,Towed Artillery,181,98,63,2,18
12,Self-Propelled Artillery,269,188,58,0,23
13,Multiple Rocket Launchers,51,34,9,0,8
14,0,0,0,0,0,0
15,Self-Propelled Anti-Aircraft Guns,9,4,1,1,3
16,Surface-To-Air Missile Systems,133,111,15,1,6
17,Radars And Communications Equipment,87,64,11,1,11
18,0,0,0,0,0,0
19,Aircraft,79,77,1,0,1
20,Helicopters,37,33,1,0,3
21,Unmanned Combat Aerial Vehicles,26,26,0,0,0
22,Reconnaissance Unmanned Aerial Vehicles,231,149,1,0,81
23,Naval Ships,28,9,2,0,17
24,"Trucks, Vehicles, and Jeeps",785,570,20,13,182
